label,hdate,hdate_end,approx_year,description,url,max_xrange_years
Catapult,c. 485 BC,,-485,Catapult (India),https://en.wikipedia.org/wiki/Ajatashatru,
Cast Iron,Between 500BC and 400BC,,-450,Cast Iron (China),https://en.wikipedia.org/wiki/Cast_iron#History,
Camera Obscura,Before 400BC,,-400,Camera Obscura (China),https://en.wikipedia.org/wiki/Camera_obscura#500_BC_to_500_AD:_Earliest_written_observations,
Gears,Between 400BC and 300BC,,-350,Gears (China),https://en.wikipedia.org/wiki/Gear#History,
Water Wheel,Between 450BC and 250BC,,-300,Water Wheel,https://en.wikipedia.org/wiki/Water_wheel#History,
Canal Lock,Between 300BC and 250BC,,-280,Canal Lock (Egypt),"https://en.wikipedia.org/wiki/Canal_of_the_Pharaohs#Greek,_Roman_and_Islamic_works",
Analogue Computer,Between 250BC and 87BC,,-250,Analogue Computer (Greece),https://en.wikipedia.org/wiki/Antikythera_mechanism,
Compass,c. 205BC,,-205,Compass (China),https://en.wikipedia.org/wiki/Compass#History,
Astrolabe,Between 220BC and 150BC,,-200,Astrolabe (Greece),https://en.wikipedia.org/wiki/Astrolabe#History,
Paper,Between 200BC and 100BC,,-150,Paper (China),https://en.wikipedia.org/wiki/Paper#History,
Zero,38BC,,-38,The number zero (Mayan),https://en.wikipedia.org/wiki/0#Pre-Columbian_Americas,
Glass Blowing,Between 27BC and 14AD,,-30,Glass Blowing (Syria),https://en.wikipedia.org/wiki/Glassblowing#Earliest_evidence,
Steam Turbine,Before 20BC,,-20,Steam Turbine (aeolipile),https://en.wikipedia.org/wiki/Aeolipile,
Vending Machine,Between 1 and 100,,50,,https://en.wikipedia.org/wiki/Vending_machine#History,
Pendulum,Between 1 and 100,,50,Pendulum (China),https://en.wikipedia.org/wiki/Pendulum#History,
Porcelain,Between 25 and 220,,150,Porcelain (China),https://en.wikipedia.org/wiki/Porcelain#Chinese_porcelain,
Block Printing,Before 220,,200,Block Printing (China),https://en.wikipedia.org/wiki/Woodblock_printing#History,
Suspension Bridge,Between 300 and 400,,350,,https://en.wikipedia.org/wiki/Simple_suspension_bridge#History,
Banknotes,Between 600 and 700,,650,Banknotes (China),https://en.wikipedia.org/wiki/Banknote#Early_Chinese_paper_money,
Gunpowder,Between 800 and 900,,850,Gunpowder (China),https://en.wikipedia.org/wiki/Gunpowder#China,
Fireworks,Between 900 and 1000,,950,Fireworks (China),https://en.wikipedia.org/wiki/Fireworks#History,
Moveable Type,c. 1040,,1040,Moveable Type (China),https://en.wikipedia.org/wiki/Movable_type#History,
Explosive Bomb,1221,,1221,Explosive Bomb (China),https://en.wikipedia.org/wiki/Bomb#History,
Spectacles,1286,,1286,Spectacles (Glasses) (Italy),https://en.wikipedia.org/wiki/Glasses#Invention,
Printing Press,1439,,1439,Printing Press (Germany),https://en.wikipedia.org/wiki/Johannes_Gutenberg,
Mercator Projection,1569,,1569,,https://en.wikipedia.org/wiki/Mercator_projection,
Newspaper,1605,,1605,,https://en.wikipedia.org/wiki/Johann_Carolus,
Telescope,1608,,1608,Telescope patented (Netherlands),https://en.wikipedia.org/wiki/Telescope#History,
Compound Microscope,1620,,1620,,https://en.wikipedia.org/wiki/Optical_microscope#History,
Slide Rule,1630,,1630,Slide Rule (England),https://en.wikipedia.org/wiki/Slide_rule#History,
Barometer,1643,,1643,Barometer (Italy),https://en.wikipedia.org/wiki/Barometer#History,
Pendulum Clock,1656,,1656,Pendulum Clock (Netherlands),https://en.wikipedia.org/wiki/Pendulum_clock#History,
Steam pump,1698,,1698,Steam pump (England),https://en.wikipedia.org/wiki/Thomas_Savery,
Piano,c. 1705,,1705,,https://en.wikipedia.org/wiki/Bartolomeo_Cristofori#The_first_appearance_of_the_piano,
Piston Steam Engine,1712,,1712,Piston Steam Engine (England),https://en.wikipedia.org/wiki/Newcomen_atmospheric_engine,
Flying Shuttle,1713,,1713,,https://en.wikipedia.org/wiki/John_Kay_(flying_shuttle)#The_flying_shuttle,
Leyden Jar,1745,,1745,,https://en.wikipedia.org/wiki/Leyden_jar,
Spinning Jenny,1765,,1765,,https://en.wikipedia.org/wiki/Spinning_jenny,
Self-propelled Vehicle,1769,,1769,,https://en.wikipedia.org/wiki/Nicolas-Joseph_Cugnot#First_self-propelled_vehicle,
Steamboat,1783,,1783,,https://en.wikipedia.org/wiki/Steamboat#Early_designs,
Power Loom,1785,,1785,,https://en.wikipedia.org/wiki/Power_loom,
Sewing Machine,1790,,1790,,https://en.wikipedia.org/wiki/Sewing_machine#History,
Cotton Gin,1793,,1793,,https://en.wikipedia.org/wiki/Cotton_gin#Eli_Whitney's_patent,
Electric Battery,1800,,1800,,https://en.wikipedia.org/wiki/Voltaic_pile,
Jacquard Loom,1804,,1804,,https://en.wikipedia.org/wiki/Jacquard_machine,
Steam Locomotive,1802,,1802,,https://en.wikipedia.org/wiki/Steam_locomotive#History,
Internal Combustion Engine,1794,1807,1807,,https://en.wikipedia.org/wiki/Internal_combustion_engine#History,
Canned food,1810,,1810,,https://en.wikipedia.org/wiki/Canning#History_and_development,
Electric Telegraph,1816,,1816,,https://en.wikipedia.org/wiki/Electrical_telegraph#First_working_systems,
Photography,1822,,1822,,https://en.wikipedia.org/wiki/Heliography,
Braille,1829,,1829,,https://en.wikipedia.org/wiki/Louis_Braille#Braille_system,
Electric Motor,1834,,1834,,https://en.wikipedia.org/wiki/Electric_motor#DC_motors,
Morse Code,1837,,1837,,https://en.wikipedia.org/wiki/Morse_code#Samuel_Morse_and_Alfred_Vail,
Solar Cell,1839,,1839,,https://en.wikipedia.org/wiki/Solar_cell#History,
Vulcanised Rubber,1839,,1839,,https://en.wikipedia.org/wiki/Vulcanization#History,
